Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Brand & Model,LitersinEngine,State
Mazda,2012.0,CX-5,SUV,2012 Mazda CX-5 Maxx (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.9,231350.0,White,"Slacks Creek, QLD",4.0,SUV,4.0,5.0,17990.0,Mazda CX-5,2.0,QLD
GWM,2023.0,UTE,Kedron Haval & Great Wall Online,2023 GWM UTE Cannon Vanta (4X4),NEW,Automatic,"4 cyl, 2 L",4WD,Diesel,9.4,16.0,White,"Kedron, QLD",4.0,Ute / Tray,4.0,5.0,47490.0,GWM UTE,2.0,QLD
Holden,2005.0,Crewman,Ute / Tray,2005 Holden Crewman SSZ,USED,Automatic,"8 cyl, 5.7 L",Rear,Unleaded,0.0,174285.0,Black,"Ravenhall, VIC",8.0,Ute / Tray,4.0,5.0,17999.0,Holden Crewman,5.7,VIC
BMW,2013.0,X5,SUV,2013 BMW X5 Xdrive 30D,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.2,178000.0,Black,"Port Melbourne, VIC",6.0,SUV,4.0,5.0,33888.0,BMW X5,3.0,VIC
Ford,2019.0,Ranger,Ute / Tray,2019 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,7.8,73906.0,White,"Kedron, QLD",4.0,Ute / Tray,4.0,5.0,34998.0,Ford Ranger,2.2,QLD
Toyota,2017.0,Kluger,SUV,2017 Toyota Kluger Grande (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.3,87658.0,White,"Elsternwick, VIC",6.0,SUV,4.0,7.0,45990.0,Toyota Kluger,3.5,VIC
BMW,2012.0,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6,125456.0,Silver,"Point Cook, VIC",4.0,SUV,4.0,5.0,16999.0,BMW X3,2.0,VIC
Audi,2018.0,A3,Other,2018 Audi A3 30 Tfsi Sportback (1.0 Tfsi),USED,Automatic,"3 cyl, 1 L",Front,Premium,4.8,38094.0,Black,"Mansfield, QLD",3.0,Other,4.0,5.0,27800.0,Audi A3,1.0,QLD
GWM,2022.0,Haval,SUV,2022 GWM Haval Jolion Ultra Hybrid,USED,Automatic,"4 cyl, 1.5 L",Front,Hybrid,5.0,16479.0,Blue,"Ravenhall, VIC",4.0,SUV,4.0,5.0,41990.0,GWM Haval,1.5,VIC
HSV,2011.0,GTS,Sedan,2011 HSV GTS,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,13.9,131809.0,Blue,"Maidstone, VIC",8.0,Sedan,4.0,5.0,58880.0,HSV GTS,6.2,VIC
