Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Brand & Model,LitersinEngine,State
Ssangyong,2022.0,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7,5595.0,White,"Caringbah, NSW",4.0,SUV,4.0,7.0,51990.0,Ssangyong Rexton,2.2,NSW
MG,2022.0,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7,16.0,Black,"Brookvale, NSW",4.0,Hatchback,5.0,5.0,19990.0,MG MG3,1.5,NSW
BMW,2022.0,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6,8472.0,Grey,"Sylvania, NSW",4.0,Coupe,2.0,4.0,108988.0,BMW 430I,2.0,NSW
Mercedes-Benz,2011.0,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,11.0,136517.0,White,"Mount Druitt, NSW",8.0,Coupe,2.0,4.0,32990.0,Mercedes-Benz E500,5.5,NSW
Renault,2022.0,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.0,1035.0,Grey,"Castle Hill, NSW",4.0,SUV,4.0,5.0,34990.0,Renault Arkana,1.3,NSW
Land,2017.0,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1,67662.0,White,"Blacktown, NSW",4.0,SUV,2.0,4.0,62280.0,Land Rover,2.0,NSW
Nissan,2000.0,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8.0,300539.0,Red,"Wentworthville, NSW",4.0,Hatchback,5.0,5.0,2995.0,Nissan Pulsar,1.6,NSW
Toyota,2013.0,86,Coupe,2013 Toyota 86 GT,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.1,82012.0,Black,"Mcgraths Hill, NSW",4.0,Coupe,2.0,4.0,24888.0,Toyota 86,2.0,NSW
Honda,2014.0,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5,38229.0,Blue,"Lidcombe, NSW",4.0,Hatchback,5.0,5.0,17900.0,Honda Jazz,1.3,NSW
Toyota,2018.0,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8,16324.0,White,"Lidcombe, NSW",4.0,Commercial,4.0,2.0,41999.0,Toyota HiAce,2.7,NSW
Toyota,2016.0,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8.0,229829.0,White,"Lidcombe, NSW",4.0,Commercial,4.0,2.0,27995.0,Toyota HiAce,3.0,NSW
Volkswagen,2012.0,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2,55676.0,White,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,14999.0,Volkswagen Golf,1.4,NSW
BMW,2014.0,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6,82624.0,Black,"Haberfield, NSW",4.0,SUV,4.0,5.0,24985.0,BMW X3,2.0,NSW
BMW,2011.0,118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4,95204.0,Silver,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,13999.0,BMW 118D,2.0,NSW
Ford,2014.0,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4,76289.0,White,"Cabramatta, NSW",3.0,Hatchback,5.0,5.0,12400.0,Ford Fiesta,1.0,NSW
Mitsubishi,2012.0,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5,219681.0,Black,"Blacktown, NSW",4.0,SUV,4.0,7.0,13999.0,Mitsubishi Outlander,2.4,NSW
Ford,2013.0,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1,98079.0,Blue,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,11999.0,Ford Fiesta,1.6,NSW
Volkswagen,2023.0,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4,15.0,White,"Blacktown, NSW",6.0,Ute / Tray,4.0,5.0,83887.0,Volkswagen Amarok,3.0,NSW
Honda,2018.0,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8,43274.0,Silver,"Castle Hill, NSW",4.0,Hatchback,5.0,5.0,19900.0,Honda Jazz,1.5,NSW
Subaru,2012.0,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.4,105672.0,Black,"Glebe, NSW",4.0,SUV,4.0,5.0,17990.0,Subaru Outback,2.5,NSW
Mitsubishi,2018.0,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.7,36836.0,Black,"Camden, NSW",3.0,Hatchback,5.0,5.0,14995.0,Mitsubishi Mirage,1.2,NSW
Toyota,2005.0,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.8,115821.0,Silver,"Lansvale, NSW",4.0,Sedan,4.0,5.0,8499.0,Toyota Camry,2.4,NSW
Hyundai,2011.0,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9,189711.0,Silver,"Croydon, NSW",4.0,Sedan,4.0,5.0,12990.0,Hyundai I45,2.4,NSW
Ford,2015.0,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2,173786.0,Blue,"Blacktown, NSW",6.0,SUV,4.0,7.0,16999.0,Ford Territory,2.7,NSW
Nissan,2018.0,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9,114301.0,Blue,"Pendle Hill, NSW",4.0,SUV,4.0,5.0,21950.0,Nissan Qashqai,2.0,NSW
Volkswagen,2013.0,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,6.6,69197.0,Black,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,24880.0,Volkswagen Golf,2.0,NSW
Hyundai,2015.0,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9,94377.0,Grey,"Mcgraths Hill, NSW",4.0,SUV,4.0,5.0,23888.0,Hyundai Tucson,2.0,NSW
Ford,2016.0,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.2,94965.0,White,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,16999.0,Ford Focus,1.5,NSW
Nissan,2019.0,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1,99294.0,Grey,"Blacktown, NSW",4.0,SUV,4.0,7.0,24490.0,Nissan X-Trail,2.5,NSW
Toyota,2021.0,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2,13694.0,Black,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,44878.0,Toyota Corolla,1.8,NSW
Toyota,2007.0,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.7,264691.0,Silver,"Lansvale, NSW",4.0,Sedan,4.0,5.0,7949.0,Toyota Yaris,1.5,NSW
Toyota,2010.0,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.7,238270.0,Grey,"Smithfield, NSW",4.0,Hatchback,5.0,5.0,8800.0,Toyota Corolla,1.8,NSW
Jeep,2015.0,Patriot,SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.1,140964.0,Black,"Seven Hills, NSW",4.0,SUV,4.0,5.0,13990.0,Jeep Patriot,2.4,NSW
Toyota,2003.0,HiAce,Commercial,2003 Toyota HiAce,USED,Automatic,"4 cyl, 2.4 L",Rear,Unleaded,0.0,266848.0,White,"Five Dock, NSW",4.0,Commercial,4.0,3.0,9999.0,Toyota HiAce,2.4,NSW
Volvo,2013.0,S60,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.4,141000.0,Blue,"Blacktown, NSW",4.0,Sedan,4.0,5.0,14999.0,Volvo S60,1.6,NSW
Mitsubishi,2016.0,Triton,Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6,240402.0,White,"Haberfield, NSW",4.0,Ute / Tray,4.0,5.0,22750.0,Mitsubishi Triton,2.4,NSW
Mercedes-Benz,2010.0,E250,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,7.9,101126.0,Black,"Glebe, NSW",4.0,Coupe,2.0,4.0,21950.0,Mercedes-Benz E250,1.8,NSW
Mercedes-Benz,2013.0,A250,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.6,117254.0,White,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,19999.0,Mercedes-Benz A250,2.0,NSW
Toyota,2012.0,86,Coupe,2012 Toyota 86 GT,USED,Manual,"4 cyl, 2 L",Rear,Premium,7.8,178747.0,Silver,"Granville, NSW",4.0,Coupe,2.0,4.0,19900.0,Toyota 86,2.0,NSW
Mazda,2022.0,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5,10579.0,Black,"Five Dock, NSW",4.0,SUV,4.0,5.0,37990.0,Mazda CX-5,2.5,NSW
Toyota,2010.0,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.7,167101.0,Red,"Minchinbury, NSW",4.0,Hatchback,5.0,5.0,12990.0,Toyota Corolla,1.8,NSW
Ford,2013.0,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9,163161.0,Blue,"Blacktown, NSW",6.0,Sedan,4.0,5.0,16999.0,Ford Falcon,4.0,NSW
Abarth,2021.0,595,Hatchback,2021 Abarth 595 Competizione,USED,Manual,"4 cyl, 1.4 L",Front,Premium,6.0,13200.0,Black,"Ryde, NSW",4.0,Hatchback,3.0,4.0,36990.0,Abarth 595,1.4,NSW
Honda,2014.0,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,8.7,103211.0,White,"Blacktown, NSW",4.0,SUV,4.0,5.0,23880.0,Honda CR-V,2.4,NSW
Toyota,2007.0,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4,177751.0,Silver,"Minchinbury, NSW",4.0,Sedan,4.0,5.0,10990.0,Toyota Corolla,1.8,NSW
Toyota,2016.0,HiAce,People Mover,2016 Toyota HiAce Commuter,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9,119614.0,Silver,"Ingleburn, NSW",4.0,People Mover,3.0,14.0,44900.0,Toyota HiAce,2.7,NSW
Hyundai,2012.0,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9,125546.0,Black,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,15880.0,Hyundai I30,1.8,NSW
Mazda,2013.0,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6,163000.0,Grey,"Minchinbury, NSW",4.0,Sedan,4.0,5.0,16995.0,Mazda 6,2.5,NSW
Toyota,2008.0,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11.0,132864.0,Blue,"Blacktown, NSW",6.0,SUV,4.0,7.0,19880.0,Toyota Kluger,3.5,NSW
Hyundai,2018.0,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8,71655.0,White,"Homebush, NSW",4.0,SUV,4.0,7.0,43999.0,Hyundai Santa,2.2,NSW
BMW,2012.0,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6,109459.0,Black,"Blacktown, NSW",4.0,SUV,4.0,5.0,18888.0,BMW X3,2.0,NSW
Holden,2016.0,Cascada,Convertible,2016 Holden Cascada,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.5,65361.0,Silver,"Minchinbury, NSW",4.0,Convertible,2.0,4.0,24995.0,Holden Cascada,1.6,NSW
Mercedes-Benz,2006.0,ML320,SUV,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,9.6,212953.0,Silver,"Five Dock, NSW",6.0,SUV,4.0,5.0,9998.0,Mercedes-Benz ML320,3.0,NSW
Mitsubishi,2009.0,Lancer,Sedan,2009 Mitsubishi Lancer ES,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2,163012.0,Red,"Minchinbury, NSW",4.0,Sedan,4.0,5.0,9990.0,Mitsubishi Lancer,2.0,NSW
Audi,2014.0,A5,Coupe,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7,82119.0,White,"Blacktown, NSW",4.0,Coupe,2.0,4.0,27380.0,Audi A5,2.0,NSW
Kia,2018.0,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4,42071.0,Red,"Homebush, NSW",3.0,Hatchback,5.0,5.0,24999.0,Kia RIO,1.0,NSW
Jeep,2015.0,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,"6 cyl, 3.2 L",4WD,Unleaded,10.0,85958.0,Red,"Elderslie, NSW",6.0,SUV,4.0,5.0,17999.0,Jeep Cherokee,3.2,NSW
Volkswagen,2011.0,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8,118642.0,Black,"Lidcombe, NSW",4.0,SUV,4.0,5.0,12990.0,Volkswagen Tiguan,2.0,NSW
Mitsubishi,2012.0,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9,187265.0,Blue,"Campbelltown, NSW",4.0,SUV,4.0,5.0,13990.0,Mitsubishi ASX,2.0,NSW
BMW,2016.0,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4,118120.0,Grey,"Caringbah, NSW",4.0,Convertible,2.0,4.0,28990.0,BMW 220I,2.0,NSW
Hyundai,2022.0,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.1,19978.0,White,"Smithfield, NSW",4.0,SUV,4.0,5.0,36800.0,Hyundai Tucson,2.0,NSW
Mazda,2011.0,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2,86804.0,Grey,"Lansvale, NSW",4.0,Sedan,4.0,5.0,13999.0,Mazda 3,2.0,NSW
Volkswagen,2023.0,Tiguan,Alto Volkswagen New Cars,2023 Volkswagen Tiguan Allspace 132TSI Life,NEW,Automatic,"4 cyl, 2 L",AWD,Premium,8.9,15.0,Black,"Blacktown, NSW",4.0,SUV,4.0,7.0,56887.0,Volkswagen Tiguan,2.0,NSW
Hyundai,2014.0,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,9.0,183550.0,White,"Bankstown, NSW",4.0,Wagon,4.0,8.0,19888.0,Hyundai Imax,2.5,NSW
Toyota,2014.0,Yaris,Hatchback,2014 Toyota Yaris YR,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.3,191748.0,Other,"Bankstown, NSW",4.0,Hatchback,5.0,5.0,8995.0,Toyota Yaris,1.3,NSW
Toyota,2016.0,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.4,139637.0,Grey,"Five Dock, NSW",6.0,SUV,4.0,7.0,31900.0,Toyota Kluger,3.5,NSW
Mitsubishi,2013.0,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2,165306.0,Grey,"Minchinbury, NSW",4.0,Sedan,4.0,5.0,14995.0,Mitsubishi Lancer,2.0,NSW
Subaru,2016.0,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1,104887.0,Grey,"North Narrabeen, NSW",4.0,SUV,4.0,5.0,22990.0,Subaru XV,2.0,NSW
Mini,2017.0,Cooper,Hatchback,2017 Mini Cooper S 5D Hatch,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.5,72501.0,Other,"Blacktown, NSW",4.0,Hatchback,5.0,5.0,31990.0,Mini Cooper,2.0,NSW
Holden,2010.0,Commodore,Ute / Tray,2010 Holden Commodore SS-V,USED,Manual,"8 cyl, 6 L",Rear,Unleaded,14.5,169220.0,Black,"Blacktown, NSW",8.0,Ute / Tray,2.0,2.0,25999.0,Holden Commodore,6.0,NSW
Hyundai,2015.0,I20,Hatchback,2015 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9,111783.0,Silver,"Croydon, NSW",4.0,Hatchback,5.0,5.0,13990.0,Hyundai I20,1.4,NSW
Mazda,2018.0,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X2),USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,9.3,97460.0,White,"Haberfield, NSW",5.0,Ute / Tray,4.0,5.0,30990.0,Mazda BT-50,3.2,NSW
Mazda,2009.0,3,Sedan,2009 Mazda 3 Maxx,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2,178389.0,Black,"Chester Hill, NSW",4.0,Sedan,4.0,5.0,8499.0,Mazda 3,2.0,NSW
Hyundai,2011.0,I20,Hatchback,2011 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4,188262.0,Blue,"Minchinbury, NSW",4.0,Hatchback,5.0,5.0,10995.0,Hyundai I20,1.4,NSW
Mazda,2010.0,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5,152831.0,Black,"Liverpool, NSW",4.0,SUV,4.0,5.0,11669.0,Mazda CX-7,2.3,NSW
Jeep,2017.0,Renegade,SUV,2017 Jeep Renegade Limited,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9,69218.0,Grey,"Glebe, NSW",4.0,SUV,4.0,5.0,24950.0,Jeep Renegade,1.4,NSW
Mazda,2013.0,6,Sedan,2013 Mazda 6 Sport,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6,124093.0,White,"West Ryde, NSW",4.0,Sedan,4.0,5.0,16990.0,Mazda 6,2.5,NSW
Kia,2013.0,Grand,Wagon,2013 Kia Grand Carnival SLI,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.9,98672.0,White,"Minchinbury, NSW",6.0,Wagon,4.0,8.0,13995.0,Kia Grand,3.5,NSW
Mitsubishi,2015.0,Lancer,Sedan,2015 Mitsubishi Lancer ES Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2,61481.0,Grey,"Minchinbury, NSW",4.0,Sedan,4.0,5.0,17995.0,Mitsubishi Lancer,2.0,NSW
Subaru,2018.0,Impreza,Hatchback,2018 Subaru Impreza 2.0I (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.6,61177.0,Grey,"Seven Hills, NSW",4.0,Hatchback,5.0,5.0,22990.0,Subaru Impreza,2.0,NSW
Mazda,2014.0,3,Hatchback,2014 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2,132648.0,Red,"Granville, NSW",4.0,Hatchback,5.0,5.0,16999.0,Mazda 3,2.0,NSW
BMW,2021.0,X4,SUV,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.3,31367.0,Grey,"Sylvania, NSW",4.0,SUV,5.0,5.0,79988.0,BMW X4,2.0,NSW
Mazda,2010.0,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5,174818.0,Red,"Kirrawee, NSW",4.0,SUV,4.0,5.0,12800.0,Mazda CX-7,2.3,NSW
Audi,2015.0,A5,Coupe,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7,115334.0,Grey,"Blacktown, NSW",4.0,Coupe,2.0,4.0,26880.0,Audi A5,2.0,NSW
BMW,2014.0,118I,Hatchback,2014 BMW 118I,USED,Automatic,"4 cyl, 1.6 L",Rear,Premium,5.8,57000.0,White,"Cabramatta, NSW",4.0,Hatchback,5.0,5.0,16990.0,BMW 118I,1.6,NSW
Audi,2014.0,Q7,SUV,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,"8 cyl, 4.1 L",AWD,Diesel,9.2,199941.0,Black,"Five Dock, NSW",8.0,SUV,4.0,7.0,28999.0,Audi Q7,4.1,NSW
Suzuki,2015.0,Celerio,Hatchback,2015 Suzuki Celerio,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,4.8,23316.0,Blue,"Blacktown, NSW",3.0,Hatchback,5.0,4.0,13880.0,Suzuki Celerio,1.0,NSW
Subaru,2016.0,Liberty,Sedan,2016 Subaru Liberty 3.6R,USED,Automatic,"6 cyl, 3.6 L",AWD,Premium,9.9,226127.0,White,"Minto, NSW",6.0,Sedan,4.0,5.0,17950.0,Subaru Liberty,3.6,NSW
Toyota,2019.0,C-HR,SUV,2019 Toyota C-HR (2WD),USED,Manual,"4 cyl, 1.2 L",Front,Premium,5.4,58185.0,Other,"Blacktown, NSW",4.0,SUV,4.0,5.0,33888.0,Toyota C-HR,1.2,NSW
Subaru,2021.0,Forester,SUV,2021 Subaru Forester 2.5I (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4,16136.0,Silver,"Windsor, NSW",4.0,SUV,4.0,5.0,39990.0,Subaru Forester,2.5,NSW
Mazda,2015.0,CX-3,SUV,2015 Mazda CX-3 S Touring (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.7,31531.0,White,"Penrith, NSW",4.0,SUV,4.0,5.0,23950.0,Mazda CX-3,2.0,NSW
Jeep,2018.0,Grand,SUV,2018 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5,76472.0,White,"Glebe, NSW",6.0,SUV,4.0,5.0,41950.0,Jeep Grand,3.0,NSW
Hyundai,2018.0,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4,62719.0,Silver,"Homebush, NSW",4.0,Hatchback,4.0,5.0,21999.0,Hyundai I30,2.0,NSW
Nissan,2020.0,X-Trail,SUV,2020 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9,52035.0,Grey,"Windsor, NSW",4.0,SUV,4.0,5.0,27990.0,Nissan X-Trail,2.5,NSW
Honda,2010.0,City,Sedan,2010 Honda City VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.6,146445.0,Black,"Kogarah, NSW",4.0,Sedan,4.0,5.0,8950.0,Honda City,1.5,NSW
Honda,2020.0,CR-V,SUV,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3,35214.0,Grey,"Blacktown, NSW",4.0,SUV,4.0,7.0,37880.0,Honda CR-V,1.5,NSW
Holden,2014.0,Cruze,Hatchback,2014 Holden Cruze SRI,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,7.4,163000.0,Red,"South Windsor, NSW",4.0,Hatchback,5.0,5.0,7950.0,Holden Cruze,1.6,NSW
Jeep,2013.0,Grand,SUV,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,"6 cyl, 3.6 L",Rear,Premium,10.1,69001.0,Grey,"Artarmon, NSW",6.0,SUV,4.0,5.0,24990.0,Jeep Grand,3.6,NSW
Toyota,2007.0,RAV4,SUV,2007 Toyota RAV4 Cruiser L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.6,106718.0,Silver,"Lansvale, NSW",4.0,SUV,4.0,5.0,14999.0,Toyota RAV4,2.4,NSW
Holden,2016.0,Commodore,Sedan,2016 Holden Commodore Evoke,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,8.3,59689.0,Red,"Blacktown, NSW",6.0,Sedan,4.0,5.0,22999.0,Holden Commodore,3.0,NSW
Mercedes-Benz,2010.0,CLC200,Coupe,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,9.0,177834.0,Silver,"Five Dock, NSW",4.0,Coupe,2.0,4.0,7999.0,Mercedes-Benz CLC200,1.8,NSW
Mazda,2013.0,6,Sedan,2013 Mazda 6 Atenza,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6,105767.0,White,"Homebush, NSW",4.0,Sedan,4.0,5.0,19999.0,Mazda 6,2.5,NSW
Volkswagen,2018.0,Caddy,Commercial,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.0,87293.0,White,"Blacktown, NSW",4.0,Commercial,3.0,2.0,30999.0,Volkswagen Caddy,1.4,NSW
Honda,2013.0,Civic,Sedan,2013 Honda Civic VTI-L,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7,154347.0,Silver,"Minchinbury, NSW",4.0,Sedan,4.0,5.0,15990.0,Honda Civic,1.8,NSW
Jeep,2021.0,Compass,SUV,2021 Jeep Compass Launch Edition,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9,20827.0,White,"Ryde, NSW",4.0,SUV,4.0,5.0,32888.0,Jeep Compass,2.4,NSW
Toyota,2010.0,Yaris,Hatchback,2010 Toyota Yaris YR,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.5,147626.0,White,"Minchinbury, NSW",4.0,Hatchback,5.0,5.0,10995.0,Toyota Yaris,1.3,NSW
